numberCalled,callType,timeStamp,attackDate,courierPhoneNumber,phoneNumber,potentialTerrorist
(000) 000-0000,Incoming,30:16.1,9/11/01,(000) 000-0000,(655) 405-7114,1
(000) 000-0000,Outgoing,02:40.5,9/11/01,(000) 000-0000,(655) 405-7114,1
(512) 394-3829,Incoming,28:53.9,9/11/01,(000) 000-0000,(655) 405-7114,1
(000) 000-0000,Incoming,13:19.9,9/11/01,(000) 000-0000,(655) 405-7114,1
(000) 000-0000,Outgoing,23:01.8,9/11/01,(000) 000-0000,(655) 405-7114,1
(383) 483-5584,Incoming,10:27.5,9/11/01,(000) 000-0000,(655) 405-7114,1
(512) 394-3829,Incoming,48:50.0,9/11/01,(000) 000-0000,(655) 405-7114,1
(000) 000-0000,Incoming,46:48.3,9/11/01,(000) 000-0000,(655) 405-7114,1
(000) 000-0000,Outgoing,33:23.7,9/11/01,(000) 000-0000,(655) 405-7114,1
(383) 483-5584,Outgoing,48:40.3,9/11/01,(000) 000-0000,(655) 405-7114,1
(000) 000-0000 ,Outgoing,28:35.3,9/11/01,(000) 000-0000,(655) 405-7114,1
(000) 000-0000,Outgoing,21:43.4,9/11/01,(000) 000-0000,(655) 405-7114,1
(000) 000-0000,Incoming,44:37.2,9/11/01,(000) 000-0000,(655) 405-7114,1
(655) 405-7114,Incoming,48:40.3,9/11/01,(000) 000-0000,(383) 483-5584,0
(951) 355-0368,Outgoing,10:36.8,9/11/01,(000) 000-0000,(383) 483-5584,0
(511) 844-8820,Incoming,00:07.1,9/11/01,(000) 000-0000,(383) 483-5584,0
(511) 844-8820,Incoming,13:06.7,9/11/01,(000) 000-0000,(383) 483-5584,0
(951) 355-0368,Outgoing,22:24.2,9/11/01,(000) 000-0000,(383) 483-5584,0
(210) 481-5829,Outgoing,16:24.4,9/11/01,(000) 000-0000,(383) 483-5584,0
(210) 481-5829,Incoming,24:53.2,9/11/01,(000) 000-0000,(383) 483-5584,0
(655) 405-7114,Outgoing,10:27.5,9/11/01,(000) 000-0000,(383) 483-5584,0
(511) 844-8820,Outgoing,39:36.0,9/11/01,(000) 000-0000,(383) 483-5584,0
(951) 355-0368,Outgoing,49:01.6,9/11/01,(000) 000-0000,(383) 483-5584,0
(655) 405-7114,Incoming,14:34.1,9/11/01,(000) 000-0000,(383) 483-5584,0
(210) 481-5829,Incoming,59:49.1,9/11/01,(000) 000-0000,(383) 483-5584,0
(210) 481-5829,Outgoing,23:21.9,9/11/01,(000) 000-0000,(383) 483-5584,0
(655) 405-7114,Outgoing,45:53.2,9/11/01,(000) 000-0000,(383) 483-5584,0
(655) 405-7114,Incoming,36:45.1,9/11/01,(000) 000-0000,(383) 483-5584,0
(951) 355-0368,Outgoing,34:06.3,9/11/01,(000) 000-0000,(383) 483-5584,0
(205) 838-8948,Outgoing,10:57.6,9/11/01,(000) 000-0000,(511) 844-8820,0
(734) 336-0470,Outgoing,18:44.1,9/11/01,(000) 000-0000,(511) 844-8820,0
(205) 838-8948,Outgoing,52:49.7,9/11/01,(000) 000-0000,(511) 844-8820,0
(655) 405-7114,Outgoing,11:31.3,9/11/01,(000) 000-0000,(511) 844-8820,0
(734) 336-0470,Outgoing,29:08.7,9/11/01,(000) 000-0000,(511) 844-8820,0
(734) 336-0470,Incoming,45:09.6,9/11/01,(000) 000-0000,(511) 844-8820,0
(205) 838-8948,Outgoing,25:10.5,9/11/01,(000) 000-0000,(511) 844-8820,0
(205) 838-8948,Outgoing,24:41.6,9/11/01,(000) 000-0000,(511) 844-8820,0
(517) 250-7287,Incoming,42:49.5,9/11/01,(000) 000-0000,(512) 394-3829,0
(517) 250-7287,Incoming,25:19.4,9/11/01,(000) 000-0000,(512) 394-3829,0
(810) 312-4582,Outgoing,38:49.1,9/11/01,(000) 000-0000,(512) 394-3829,0
(517) 250-7287,Incoming,33:59.1,9/11/01,(000) 000-0000,(512) 394-3829,0
(517) 250-7287,Incoming,29:18.8,9/11/01,(000) 000-0000,(512) 394-3829,0
(810) 312-4582,Incoming,31:18.0,9/11/01,(000) 000-0000,(512) 394-3829,0
(517) 250-7287,Outgoing,33:15.7,9/11/01,(000) 000-0000,(512) 394-3829,0
(860) 616-8150,Incoming,00:21.6,9/11/01,(000) 000-0000,(512) 394-3829,0
(860) 616-8150,Incoming,52:52.3,9/11/01,(000) 000-0000,(512) 394-3829,0
(655) 405-7114,Incoming,42:13.3,9/11/01,(000) 000-0000,(581) 532-7966,0
(810) 312-4582,Outgoing,04:25.9,9/11/01,(000) 000-0000,(581) 532-7966,0
(655) 405-7114,Outgoing,11:32.4,9/11/01,(000) 000-0000,(581) 532-7966,0
(810) 312-4582,Outgoing,10:26.0,9/11/01,(000) 000-0000,(581) 532-7966,0
